,,,,,,
"v1,6 (sans features selection)",,,,,,
ALL,,,,,,
,Modèle,MAE,RMSE,R²,,
,0,Random,Forest,0.001546,0.005405,0.999970
,1,Gradient,Boosting,0.014526,0.019516,0.999615
,2,Régression,Linéaire,0.103931,0.135711,0.981373
,,,,,,
V2.0 (2 labels > Age + Weight),,,,,,
"""Age"", ""Weight (kg)"" ",,,,,,
,Modèle,MAE,RMSE,R²,,
,0,Random,Forest,0.588302,0.759869,0.416494
,1,Gradient,Boosting,0.676781,0.841083,0.285100
,2,Régression,Linéaire,0.786070,0.994552,0.000409
,,,,,,
V2.1 (Ajout Gender),,,,,,
"""Age"", ""Weight (kg)"", ""Gender"" ",,,,,,
,Modèle,MAE,RMSE,R²,,
,0,Random,Forest,0.584926,0.754729,0.424362
,1,Gradient,Boosting,0.677323,0.841614,0.284197
,2,Régression,Linéaire,0.786334,0.994422,0.000671
,,,,,,
V2.2 (Ajout Experience_Level),,,,,,
"""Age"", ""Weight (kg)"", ""Gender"", ""Experience_Level""",,,,,,
,Modèle,MAE,RMSE,R²,,
,0,Random,Forest,0.507611,0.638451,0.588070
,1,Gradient,Boosting,0.557830,0.681172,0.531099
,2,Régression,Linéaire,0.585743,0.718066,0.478930
,,,,,,
V2.3 (Ajout Workout_Frequency),,,,,,
"""Age"", ""Weight (kg)"", ""Gender"", ""Experience_Level"", ""Workout_Frequency (days/week)""",,,,,,
,Modèle,MAE,RMSE,R²,,
,0,Random,Forest,0.497389,0.623019,0.607743
,1,Gradient,Boosting,0.554107,0.677117,0.536665
,2,Régression,Linéaire,0.585753,0.718063,0.478934
,,,,,,
V2.4 (Ajout Session_Duration),,,,,,
"""Age"", ""Weight (kg)"", ""Gender"", ""Experience_Level"", ""Workout_Frequency (days/week)"", ""Session_Duration (hours)""",,,,,,
,Modèle,MAE,RMSE,R²,,
,0,Gradient,Boosting,0.448513,0.567945,0.674028
,1,Régression,Linéaire,0.450079,0.568034,0.673926
,2,Random,Forest,0.474187,0.600632,0.635427
,,,,,,
V2.5 (Ajout Height),,,,,,
"""Age"", ""Weight (kg)"", ""Gender"", ""Experience_Level"", ""Workout_Frequency (days/week)"", ""Session_Duration (hours)"", ""Height (m)""",,,,,,
,Modèle,MAE,RMSE,R²,,
,0,Gradient,Boosting,0.448367,0.567756,0.674245
,1,Régression,Linéaire,0.450080,0.568061,0.673895
,2,Random,Forest,0.474484,0.600432,0.635669
,,,,,,
V2.6 (Ajout Max_BPM),,,,,,
"""Age"", ""Weight (kg)"", ""Gender"", ""Experience_Level"", ""Workout_Frequency (days/week)"", ""Session_Duration (hours)"", ""Height (m)"", ""Max_BPM"" ",,,,,,
,Modèle,MAE,RMSE,R²,,
,0,Gradient,Boosting,0.448483,0.567567,0.674462
,1,Régression,Linéaire,0.450079,0.568064,0.673892
,2,Random,Forest,0.474165,0.600184,0.635970
,,,,,,
V2.7 (Ajout Avg_BPM),,,,,,
"""Age"", ""Weight (kg)"", ""Gender"", ""Experience_Level"", ""Workout_Frequency (days/week)"", ""Session_Duration (hours)"", ""Height (m)"", ""Max_BPM"", ""Avg_BPM"" ",,,,,,
,Modèle,MAE,RMSE,R²,,
,0,Gradient,Boosting,0.448780,0.568253,0.673675
,1,Random,Forest,0.473308,0.599794,0.636444
,2,Régression,Linéaire,1.023554,1.291498,-0.685601
,,,,,,
V2.8 (Ajout Resting_BPM),,,,,,
"""Age"", ""Weight (kg)"", ""Gender"", ""Experience_Level"", ""Workout_Frequency (days/week)"", ""Session_Duration (hours)"", ""Height (m)"", ""Max_BPM"", ""Avg_BPM"", ""Resting_BPM""",,,,,,
,Modèle,MAE,RMSE,R²,,
,0,Gradient,Boosting,0.448659,0.567676,0.674337
,1,Random,Forest,0.471805,0.597679,0.639003
,2,Régression,Linéaire,1.023773,1.291674,-0.686062
,,,,,,
V2.9 (Ajout Workout_Type),,,,,,
"""Age"", ""Weight (kg)"", ""Gender"", ""Experience_Level"", ""Workout_Frequency (days/week)"", ""Session_Duration (hours)"", ""Height (m)"", ""Max_BPM"", ""Avg_BPM"", ""Resting_BPM""",,,,,,
,Modèle,MAE,RMSE,R²,,
,0,Random,Forest,0.001220,0.002947,0.999991
,1,Gradient,Boosting,0.011573,0.015298,0.999763
,2,Régression,Linéaire,1.123586,1.414872,-1.023029
,,,,,,
V2.10 (Ajout Difficulty Level),,,,,,
"""Age"", ""Weight (kg)"", ""Gender"", ""Experience_Level"", ""Workout_Frequency (days/week)"", ""Session_Duration (hours)"", ""Height (m)"", ""Max_BPM"", ""Avg_BPM"", ""Resting_BPM"", ""Difficulty Level""",,,,,,
,Modèle,MAE,RMSE,R²,,
,0,Random,Forest,0.001232,0.002967,0.999991
,1,Gradient,Boosting,0.011575,0.015299,0.999763
,2,Régression,Linéaire,1.123591,1.414881,-1.023053
,,,,,,
V2.11 (Ajout Body Part),,,,,,
"""Age"", ""Weight (kg)"", ""Gender"", ""Experience_Level"", ""Workout_Frequency (days/week)"", ""Session_Duration (hours)"", ""Height (m)"", ""Max_BPM"", ""Avg_BPM"", ""Resting_BPM"", ""Difficulty Level"", ""Body Part""",,,,,,
,Modèle,MAE,RMSE,R²,,
,0,Random,Forest,0.001242,0.002981,0.999991
,1,Gradient,Boosting,0.011573,0.015298,0.999763
,2,Régression,Linéaire,1.123700,1.415038,-1.023502
,,,,,,
V2.12 (Ajout Equipment Needed),,,,,,
"""Age"", ""Weight (kg)"", ""Gender"", ""Experience_Level"", ""Workout_Frequency (days/week)"", ""Session_Duration (hours)"", ""Height (m)"", ""Max_BPM"", ""Avg_BPM"", ""Resting_BPM"", ""Difficulty Level"", ""Body Part"", ""Equipment Needed""",,,,,,
,Modèle,MAE,RMSE,R²,,
,0,Bagging,Regressor,0.001250,0.003019,0.999991
,1,Random,Forest,0.001253,0.003023,0.999991
,2,Gradient,Boosting,0.011646,0.015416,0.999760
,3,Régression,Linéaire,1.123618,1.414916,-1.023154
,,,,,,
V2.13 (Ajout Water_Intake),,,,,,
"""Age"", ""Weight (kg)"", ""Gender"", ""Experience_Level"", ""Workout_Frequency (days/week)"", ""Session_Duration (hours)"", ""Height (m)"", ""Max_BPM"", ""Avg_BPM"", ""Resting_BPM"", ""Difficulty Level"", ""Body Part"", ""Equipment Needed"", ""Water_Intake (liters)""",,,,,,
,Modèle,MAE,RMSE,R²,,
,0,Bagging,Regressor,0.001273,0.003037,0.999991
,1,Random,Forest,0.001271,0.003042,0.999991
,2,Gradient,Boosting,0.011717,0.015531,0.999756
,3,Régression,Linéaire,1.123412,1.414982,-1.023341
,,,,,,
V2.14 (Ajout Fat_Percentage),,,,,,
"""Age"", ""Weight (kg)"", ""Gender"", ""Experience_Level"", ""Workout_Frequency (days/week)"", ""Session_Duration (hours)"", ""Height (m)"", ""Max_BPM"", ""Avg_BPM"", ""Resting_BPM"", ""Difficulty Level"", ""Body Part"", ""Equipment Needed"", ""Water_Intake (liters)"", ""Fat_Percentage""",,,,,,
,Modèle,MAE,RMSE,R²,,
,0,Bagging,Regressor,0.001288,0.003051,0.999991
,1,Random,Forest,0.001286,0.003055,0.999991
,2,Gradient,Boosting,0.011718,0.015531,0.999756
,3,Régression,Linéaire,1.123433,1.415000,-1.023395
,,,,,,
V2.15 (Ajout diet_type),,,,,,
"""Age"", ""Weight (kg)"", ""Gender"", ""Experience_Level"", ""Workout_Frequency (days/week)"", ""Session_Duration (hours)"", ""Height (m)"", ""Max_BPM"", ""Avg_BPM"", ""Resting_BPM"", ""Difficulty Level"", ""Body Part"", ""Equipment Needed"", ""Water_Intake (liters)"", ""Fat_Percentage"", ""diet_type""",,,,,,
,Modèle,MAE,RMSE,R²,,
,0,Bagging,Regressor,0.001295,0.003049,0.999991
,1,Random,Forest,0.001295,0.003053,0.999991
,2,Gradient,Boosting,0.011718,0.015531,0.999756
,3,Régression,Linéaire,1.123366,1.414938,-1.023216
,,,,,,
V2.16 (Ajout meal_type),,,,,,
"""Age"", ""Weight (kg)"", ""Gender"", ""Experience_Level"", ""Workout_Frequency (days/week)"", ""Session_Duration (hours)"", ""Height (m)"", ""Max_BPM"", ""Avg_BPM"", ""Resting_BPM"", ""Difficulty Level"", ""Body Part"", ""Equipment Needed"", ""Water_Intake (liters)"", ""Fat_Percentage"", ""diet_type"", ""meal_type""",,,,,,
,Modèle,MAE,RMSE,R²,,
,0,Bagging,Regressor,0.001302,0.003051,0.999991
,1,Random,Forest,0.001294,0.003055,0.999991
,2,Gradient,Boosting,0.011718,0.015532,0.999756
,3,Régression,Linéaire,1.123380,1.414898,-1.023103
,,,,,,
V3.0 (best models + best params),,,,,,
"""Age"", ""Weight (kg)"", ""Gender"", ""Experience_Level"", ""Workout_Frequency (days/week)"", ""Session_Duration (hours)"", ""Height (m)"", ""Max_BPM"", ""Avg_BPM"", ""Resting_BPM"", ""Difficulty Level"", ""Body Part"", ""Equipment Needed"", ""Water_Intake (liters)"", ""Fat_Percentage"", ""diet_type"", ""meal_type""",,,,,,
,Modèle,MAE,RMSE,R²,,
,0,Bagging,Regressor,0.001302,0.003051,0.999991
,1,Random,Forest,0.001294,0.003055,0.999991
,2,Gradient,Boosting,0.011718,0.015532,0.999756
,3,Régression,Linéaire,1.123380,1.414898,-1.023103
,,,,,,
V3.1 (suppression vague 1),,,,,,
"""Age"", ""Weight (kg)"", ""Gender"", ""Experience_Level"", ""Workout_Frequency (days/week)"", ""Session_Duration (hours)"", ""Height (m)"", ""Max_BPM"", ""Avg_BPM"", ""Resting_BPM"", ""Workout_Type""",,,,,,
,Modèle,MAE,RMSE,R²,,
,0,Random,Forest,0.001220,0.002947,0.999991
,1,Bagging,Regressor,0.001221,0.002965,0.999991
,2,Gradient,Boosting,0.011573,0.015298,0.999763
,3,Régression,Linéaire,1.123586,1.414872,-1.023029
,,,,,,
V3.2 (suppression vague 2),,,,,,
"""Age"", ""Weight (kg)"", ""Gender"", ""Experience_Level"", ""Workout_Frequency (days/week)"", ""Session_Duration (hours)"", ""Height (m)"", ""Workout_Type""",,,,,,
,Modèle,MAE,RMSE,R²,,
,0,Random,Forest,0.001107,0.002819,0.999992
,1,Bagging,Regressor,0.001117,0.002830,0.999992
,2,Gradient,Boosting,0.011608,0.015365,0.999761
,3,Régression,Linéaire,1.123566,1.414834,-1.022920
,,,,,,
V3.3 (suppression vague 3),,,,,,
"""Age"", ""Weight (kg)"", ""Gender"", ""Workout_Frequency (days/week)"", ""Height (m)"", ""Workout_Type""",,,,,,
,Modèle,MAE,RMSE,R²,,
,0,Random,Forest,0.148544,0.243314,0.940173
,1,Bagging,Regressor,0.148680,0.243490,0.940086
,2,Gradient,Boosting,0.379663,0.480329,0.766845
,3,Régression,Linéaire,1.023405,1.282605,-0.662469
